u"It isn't."	'Note to self: when eating at a BBQ place, get the stupid BBQ. This steak is awful :(\n'
u"Huge portions for the price , I don't see them this cheap anywhere else and we both love our beers and wings They have too many sauces and more importantly too many that sound un appealing .. My suggestion to them would be get rid of those useless flavors and focus on homemade ones that are really good The beer came in frozen branded glasses which is great too, exactly what you want in the summer Server was an older fellow who was very friendly I was pleasantly surprised enough to write thisUpdating my review because they are happy to accommodate my salad in a seperate container, and the owners are really really nice."	'Love their calamari appetizer\n'
u'I had a great time at SnowFlake!'	"Happy hour from 3-6, wish I would've known!\n"
u'Finding this place is awesome!'	'Update: food is still amazing and the sewer smell is gone! Yay!\n'
u'There are a few things on the menu that I always order like the tuna carpaccio that is a must & they have an interesting Brie & grape quesadilla that is hard to stay away from.'	"Order something unusual, you won't be disappointed! Lots of cool flavor combos!\n"
u"If it is a slow day, the groomers will go home, so that's why you need to call first."	'Oxtail Fries are a meal by themselves!\n'
u"If it is a slow day, the groomers will go home, so that's why you need to call first."	'Updated, modern decor and upbeat music is a great way to enjoy an Asian spin on the burger experience.\n'
u'This hotel is also located to my favorite poker room at aria of course.'	'Hmm interesting\n'
u'\u5f85\u3061\u6642\u9593\u304c\u9577\u3044\u3002 \u305b\u3063\u304b\u304f\u3001\u7d76\u666f\u306a\u306e\u306b\u307f\u3093\u306a\u6a5f\u5185\u3067\u5bdd\u3066\u305fwww'	'good\n'
u'I ran out of time because I was there for about 2 hrs so I made an appointment to go back the next day for a pedicure.'	'They have coconut milk again\n'
u'I ran out of time because I was there for about 2 hrs so I made an appointment to go back the next day for a pedicure.'	"They're out of coconut milk today\n"
u'I ran out of time because I was there for about 2 hrs so I made an appointment to go back the next day for a pedicure.'	"Using the pay n go app is so awesome. I just order our drinks & food on my phone. Drive there & it's ready! No more long waits.\n"
u"The hubs and I came here for an early dinner, where I tried their Miso Decadance tasting menu (6-courses with a Masuzake (aperitif; super strong sake), a salad (beets, and it was one of the best beet salads I've had - thinly sliced with a lovely vinaigrette), soup (light-brothed miso and more sweet), Gindara (absolutely delicious piece of cod - it was a lovely mix of salty and sweet, and the taste of miso was not overbearing - super delicious, and the cod was delicate and flaky), Foie Gras (marinated in miso sauce and then pan-fried, this is one of the better foie gras dishes I've had; served with slices of roast duck and brown rice tabouli with a touch of truffle oil - decadent and garlic-y), and a scoop of ice cream (I chose black sesame) or you can opt for a shot of sake; and, the hubs had their Toroli Special tasting menu (5-courses with a salad (beet salad), soup (light-brothed miso and more sweet), omakase (toro, covered with crispy garlic - super delicious), Paradis de la Mer (large California-like rolls that are filled with fish, battered and fried, topped with a rock lobster tempura, drizzled with teriyaki sauce, spicy mayonnaise, and tobiko caviar; the rolls, I wasn't a fan of, but the rock lobster tempura was perfectly cooked and delicious), and a chocolate ice cream (tasted slightly like brownies, I preferred this more than the black sesame)."	'Ask for Chloe and Catherine!\n'
u"The hubs and I came here for an early dinner, where I tried their Miso Decadance tasting menu (6-courses with a Masuzake (aperitif; super strong sake), a salad (beets, and it was one of the best beet salads I've had - thinly sliced with a lovely vinaigrette), soup (light-brothed miso and more sweet), Gindara (absolutely delicious piece of cod - it was a lovely mix of salty and sweet, and the taste of miso was not overbearing - super delicious, and the cod was delicate and flaky), Foie Gras (marinated in miso sauce and then pan-fried, this is one of the better foie gras dishes I've had; served with slices of roast duck and brown rice tabouli with a touch of truffle oil - decadent and garlic-y), and a scoop of ice cream (I chose black sesame) or you can opt for a shot of sake; and, the hubs had their Toroli Special tasting menu (5-courses with a salad (beet salad), soup (light-brothed miso and more sweet), omakase (toro, covered with crispy garlic - super delicious), Paradis de la Mer (large California-like rolls that are filled with fish, battered and fried, topped with a rock lobster tempura, drizzled with teriyaki sauce, spicy mayonnaise, and tobiko caviar; the rolls, I wasn't a fan of, but the rock lobster tempura was perfectly cooked and delicious), and a chocolate ice cream (tasted slightly like brownies, I preferred this more than the black sesame)."	'Carries Mat & Nat items!\n'
u"Il n'y a pas beaucoup de choix."	"Ils ont du tr\xc3\xa8s beau stock, m\xc3\xaame pas mal cute! Mais c'est fait petit et, moi, je suis grande.\n"
u"Cheers!I really like this place...and not just because I'm a burger-lover, but because it's good eats, good portions, and flat-out incredible milkshakes."	"Go with the California burger...it's easily one of the best burgers anywhere!\n"
u'I really love that they now have the smaller portioned ones, which are still large but not nearly as mammoth as the regular sized ones.'	'Great view for the fireworks!\n'
u'We both opted for junior scoops, which are easily the size of a regular elsewhere and together they were less than five dollars.'	"If you haven't been to the Sweet Spot in Lakewood for Gelato yet, you're a dummy.\n"
u'We both opted for junior scoops, which are easily the size of a regular elsewhere and together they were less than five dollars.'	"There's like a jillion new flavors\n"
u'The service is also top-notch!'	'Awesome service!\n'
u'$30 for 6.Eclairs!'	'50% off tea, coffee and cocoa!\n'
u'$30 for 6.Eclairs!'	'Free WIFI just ask for password\n'
u'There are a lot of "grab and go" items prepared fresh that morning if you are in a rush.'	'Accessibility: Fully wheelchair accessible including large washrooms with grab bars. AccessTO feature http://accessto.ca/2015/08/03/kings-cafe/\n'
u'The food is quite good but I have yet to try those outside of the happy hour list.This is an excellent place for date/dinner in the Little Italy neighborhood.'	"Check out their daily special. It's usually $3 off regular price.\n"
u"The waitress made a big deal about how it wasn't that cold and we should take that table."	"The worst service I've gotten at any Cleveland restaurant! Never ever going back!\n"
u"This location is a lot less packed than their other location, but the food is pretty much the same.This place is A-OK only because I work in the building and it's so convenient to grab my breakfast/coffee on the way upstairs."	'Dry patties. Prepare for super long wait time - dem patties need to thaw.\n'
u"Everything was delicious but those wings were so incredible and we almost didn't order them but our bartender convinced us...thank goodness!My boyfriend and I stopped here on a Wednesday night for a Cavs game and it was pretty empty but it also was 9pm on a weekday."	'They have wine and beer you can enjoy with your sandwiches.\n'
u"So that's good."	"Apparently there's a movie being filmed on the street in front of the spa and it's made parking a nightmare today! Give yourself extra time today.\n"
u'Go on and get a coffee/tea from here I know you will enjoy it!This location is great!!!'	'Come a bit earlier than your scheduled appointment to find parking.\n'
u"Didn't care for the hummus or the vegetarian grape leaves."	'Egg foo young is kicked!\n'
u"I've been going to Tay Do for over five years and everyone I introduce it to loves it."	'Only the best Chinese food. Ever.\n'
u'The brisket is amazing and the rib eyed.Great food and service.'	'Love their customer service and their milk and honey pedicure is a most!\n'
u'I come here over and over for the breakfast which you can taste the free range in the eggs.'	'Good to see the girls for lunch again\n'
u'I come here over and over for the breakfast which you can taste the free range in the eggs.'	'On Holiday\n'
u'I come here over and over for the breakfast which you can taste the free range in the eggs.'	'Patio Now Open\n'
u'I come here over and over for the breakfast which you can taste the free range in the eggs.'	'Toscano Club rules\n'
u'I come here over and over for the breakfast which you can taste the free range in the eggs.'	'Try the new garlic rolls\n'
u'This is THE way to hang out and spend a weekend: to soak in the outdoor seating, architecture, people, and to be one with the city.'	'They have a happy hour. Appetizers discounted.\n'
u'I mean, when two of the only cons for a place are in the bathroom, you know it has to be on the right track.'	'Best. Wings. Ever.\n'
u'I mean, when two of the only cons for a place are in the bathroom, you know it has to be on the right track.'	'Lovin it like always.\n'
u'Really nice pub that offers great beer and some good eats.'	'Ahh beer and wings then football all day!\n'
u'Really nice pub that offers great beer and some good eats.'	'At the king of the wing buffalo bills roadhouse\n'
u'Really nice pub that offers great beer and some good eats.'	'Best wings on this planet\n'
u'Really nice pub that offers great beer and some good eats.'	'Buffalo bills is packed to the brim.. People like good wings I guess\n'
u'Really nice pub that offers great beer and some good eats.'	'Damn I needed some wings and a beer\n'
u'Really nice pub that offers great beer and some good eats.'	'Friday night packed roadhouse!\n'
u'Really nice pub that offers great beer and some good eats.'	"I really like this place if you couldn't tell\n"
u'Really nice pub that offers great beer and some good eats.'	"I'm here a lot and I wonder how much money I spend here. Reallllly wish they had a wing special night\n"
u'Really nice pub that offers great beer and some good eats.'	"It's been like 2 weeks since I've been to bills so I was having slight withdrawals\n"
u'Really nice pub that offers great beer and some good eats.'	"It's willy wonkas wing factory\n"
u'Really nice pub that offers great beer and some good eats.'	'King of wing\n'
u'Really nice pub that offers great beer and some good eats.'	'Long day at work feels good to get some beers and wings!\n'
u'Really nice pub that offers great beer and some good eats.'	'Long day.. Wings and beer = good\n'
u'Really nice pub that offers great beer and some good eats.'	"Packed ok a Wednesday night?? Ohh that's right their wings are badass!\n"
u'Really nice pub that offers great beer and some good eats.'	'Quick stop at the roadhouse then off to the steelers game\n'
u'Really nice pub that offers great beer and some good eats.'	'Sunday afternoon wings.. Damn good\n'
u'Really nice pub that offers great beer and some good eats.'	'Sunday wings and beer\n'
u'Really nice pub that offers great beer and some good eats.'	'What the sign out front says .. Hot wings cold beer.. I love this place\n'
u'Really nice pub that offers great beer and some good eats.'	"When y'all going to get the wing of the buffalo at buffalo bills?\n"
u"I've had bbq from a lot of places in the states and in Montreal and this place is oh so good!!!"	'Be ready to have great food, great drinks, great vibes!!!\n'
u'I highly recommend trying islitas mariscosI am so glad I was introduced to I love sushi!'	'Thank you Mike for fixing my washer ASAP even though you were under the weather! Great service\n'
u'Little bit of an older clientele, again, not much of a party scene.'	"You have to try the lasagna. It's amazing\n"
u'You can get a pretty good meal for under $10 or you can get meal coupons too if you get a hotel package.'	"Don't fall for the shrimp cocktail sign and gimmick\n"
u'Had I had Kazi in there with me, much selfies could have been had.'	"Don't forget your punchcard!\n"
u"At the end, we ordered a cherry turnover to go and I got home and couldn't stand it and had to eat it."	'ASU ID gets you a 15% discount\n'
u'We chose the calamari, and it was delicious.'	'Try all the flavors! They are so good!!!\n'
u'For a burger and breakfast place it is GREAT!'	'Very cozy. Good service. Nice atmosphere. Love this place.\n'
u"It's good."	'CVS shopping center off greenway and litchfield.\n'
u'Great place to get away to golf, spend day at spa and pool.'	"Great for kids and guys! Waxing and eyelash extension also done here\xef\xbc\x81it's one stop spa! Love this salon and the staff.\n"
u'It was made to order,so it was nice and warm when they served it to me.'	'Between 2:30pm and 4pm its CLOSED Hours posted here and on South Point webpage are wrong.\n'
u'It was made to order,so it was nice and warm when they served it to me.'	'Happy Hour 2-6\n'
u'My friend was telling me about 5 star salad which is one persons premise salad of everything in her garden... We might have to go back lol...This is a convenient place for ayce in summerlin...'	'Find out if can call for reservations as crowded already\n'
u'The Arepa Benny, which is pretty popular according to many of the reviews, was pretty good, but the meat lacked flavor and the highlight of the dish was the arepa.'	'HH daily 2-6pm!! Great deals :)\n'
u"Both my fella and I were thrilled with all food we ordered, even though we definitely ordered a little too much, but we can't wait to come here again soon!I have had my eye in thai location for a little bit."	'Low cost spay and neutering.\n'
u"NOTE: this review is based on what I have tried, so get chocolate wasted on your own choices ;)So I'm a fan of breakfast, aren't you?"	"Check-in w/yelp! On Tuesday 2 movie tickets, 2 medium drinks & a medium popcorn. That's whatsup!!!\n"
u"NOTE: this review is based on what I have tried, so get chocolate wasted on your own choices ;)So I'm a fan of breakfast, aren't you?"	'Free McDonald ($10 coupon)\n'
u'I had an amazing time here and I will definitely return.'	'Chillin with the play mates!! ;)\n'
u'You actually have a shot of winning on the strip.'	'Tight Slots. Ghetto clientele. Their player club is stingy as well.\n'
u"Also, if you gamble at one of these hotels, sometimes you'll receive room comps for another M Life hotel."	'Check in Thursday\n'
u"So I finally got my sandwich had it to go and ate it at home, cause i felt bad that they were closing i did not want to eat there and make them wait on me to finish i'm polite like that."	'New Mediterranean cafe and tapas restaurant in Henderson! Awesome!!\n'
u'It is the Anti-Drama.'	'The Triple A (AAA) card saves 20% off admission.\n'
u'So much deliciousness!'	'Great break from the Vegas heat! The new Rome exhibit is fantastic and so many hands on areas the kids are enthralled!\n'
u'Love this place!'	"Bring your kids! Even the rambunctious ones that you can't trust in delicate stores - bring them here! Great activities with safe items to touch! Great learning experience for all! Even for us grown ups that don't have kiddos! =)\n"
u'Great place to shop, eat, and hang out.'	'Dinosaur egg exhibit. Fun museum to visit with the family.\n'
u'The food is really fresh, crisp and delicious, the ambiance id describe as sexy and modern and our waitress was lovely.'	"Third visit, now members. Absolutely amazing museum. Sons 4 daughters 9 I'm a Ma and we are all learning a ton!\n"
u'I will continue to keep coming here.I have been different SuperCuts locations but this one is my favorite.'	'A fun time to spend a few hours with the family.\n'
u'For me or for a gift, I have found plenty of surprises I appreciate.'	'Great place to shop for birthday presents and gifts.\n'
u'The best Thai food I have had so far in Vegas.'	'love this museum!! first full weekend of every month is free for BOA card holder. Shark feeding at 2pm, tues & Thurs at 2.30pm\n'
u'I have to have it on the menu but it\'s just not as good."'	'Free on the first weekend of every month for Bank of America card holders\n'
u'I probably would only pay full price if it was an artist I loved and was dying to see their work.'	'B of A card holders get free entry every first full weekend of the month.\n'
u'I have small kids and they really enjoyed the kids play areas.'	'Make sure to check out the weekend interactive programs and feedings. Also free for Bank of America card holders on the first weekend of month!\n'
u'I have small kids and they really enjoyed the kids play areas.'	'Print out the coupon from website for two for one adult admission\n'
u"It's not trying to be what all the hype made it out to be."	'The family annual memberships include 50% discounted admission to over 290 science museums. Starting at 65 $\n'
u'I try to find that person when I have questions.I love the products they sell.'	'Field trip!\n'
u'If you can get here when they first open there are no lines at all and you still receive the same great friendly service.'	'Icees are $1.99 with a limited edition cup right now!\n'
u'For a limited time, just about everything is $6 so now is a good time to try them out.I called ahead to find out what the wait time was.'	'Back to school= long lines\n'
u'I was shocked when I found out Eat N Park owned this place.'	'The new salted caramel bbq wings are the ish!\n'
u'The only sticking point would be that this is one airport where you HAVE to err on the side of caution when it comes to the time you allot to get across security.'	'Spicy Garlic! Nomnomnom\n'
u'My husband ordered the pork belly on a bed of rice.'	"They have a smore's kit for 5$ check out my pic\n"
u'Very professional service and reasonable.'	'Cocktails are very reasonable. I like fancy ones like lemon drop martinis or Cosmos or Bombay Gin. They are a $1 more but well worth it. Plain ones are only $3.\n'
u'I would give this place 10 Stars!So I came in to get a cut after reading all the great reviews, on yelp.'	'Late night food is awesome\n'
u'Food was fresh and came out right....service was excellent everyone in the party enjoyed!'	'Great food, great prices and Sue and Robin give excellent service\n'
u'Had the airflown walleye, its a special fish from the great lakes.'	'Delectable pepper crusted prime rib thick piece larger than my whole hand!\n'
u'), a small frozen foods section, and a large food court.'	'Happy hour specials are 3-7pm in the dining room only.\n'
u"I'm not a good cook at all, but even I make better Spam Musubis at home, LOL."	'Dining room hours: 7am - 9pm\n'
u"You know when you get excited about mac and cheese, and then it's tasteless?"	'They "only" sell breakfast until 2! I know that\'s not exactly early, but we were disappointed missing it today\n'
u"!Happily, we didn't experience the problems that we did at my birthday dinner here last year, probably because we went on a Tuesday night."	"Looks like this will become a regular haunt, and we haven't eaten yet!!\n"
u'I had none and my boyfriend had medium plus.'	"$2.50 for bloody Mary's and mimosas in the dining room.\n"
u"The fries are hand-cut and fried to order, the service is friendly and fun, and this spot is completely safe for those on a gluten-free diet because all they do is fries, there's no cross-contamination!"	"Monday dinner special is baby back ribs. Available after 2 till they're sold out. And they're so good, They will sell out!\n"
u'So happy we found this place and we will most definitely be regulars here!This bar is THE BEST local bar in Vegas.'	'Super nice staff at this location\n'
u'I have had there green tea milk tea, and I loved it.'	'Everything about this Starbucks is great, except for the lack of parking! Starbucks needs to buy the bank next door and build a parking garage!\n'
u'I have had there green tea milk tea, and I loved it.'	'Starbucks is always made with love! Thank you to the best Barista Leslie!\n'
u"I go there to work remotely sometimes...so I don't have to do it at home."	'Got that Weird Al song in my head...trapped in the drive thru lol\n'
u"I go there to work remotely sometimes...so I don't have to do it at home."	'If the drive thru is jammed, go inside. In and out!\n'
u'The food is fantastic and the service is it even better than the food almost.'	'After Matt this is one of my favorite Starbucks they always provide the best service and great suggestions on new flavors of my favorite refresher.\n'
u'The food is fantastic and the service is it even better than the food almost.'	'Breakfast Gouda and orange refresher.\n'
u'By far one of the best sushi places in vegas.'	'Always a nut house in here\n'
u'My aji de gallino was yummy and delicious!'	'2/13/15: after 2 pm they have a special for $5!!\n'
u'My aji de gallino was yummy and delicious!'	'Funny and a little racist? Lol apparently my American accent was too heavy to understand when I said my name was Jane, this is what they put on my cup as my name: see picture. Not all Asians have Asian names dammit! Hahaha ha\n'
u'My aji de gallino was yummy and delicious!'	'Half off frappacino 3-5pm today until may 10!\n'
u'Please I will not be back because this was a waste of my money!Not good.'	'Still the slowest drive thru ever! Even with one person in line! Horrible service inside and out!!!\n'
u"After one or two of the deliciousness of the Orange Blossom, I'll get bold enough to venture to a Guinness or other darker beer, lol."	'Dr. Scott Lee and team are awesome with kids!\n'
u"After one or two of the deliciousness of the Orange Blossom, I'll get bold enough to venture to a Guinness or other darker beer, lol."	'Had to rush the little guy in this morning. The office was very accommodating!\n'
u"The fries are hand-cut and fried to order, the service is friendly and fun, and this spot is completely safe for those on a gluten-free diet because all they do is fries, there's no cross-contamination!"	'Now open in the Good Times Billiards bar parking lot.\n'
u'Overall (1-5): 5* Food (1-5): 5* Service (1-5): 5* Atmosphere (1-5): 4* Ambiance (1-5): 4*The best Thai restaurant in Scottsdale, bar none.'	'The best Italian Restaurant in Scottsdale...\n'
u'Overall (1-5): 5* Food (1-5): 5* Service (1-5): 5* Atmosphere (1-5): 4* Ambiance (1-5): 4*The best Thai restaurant in Scottsdale, bar none.'	'Very quaint, romantic little Italian Restaurant with a great wine menu.\n'
u'I am from Chicago and this pizza is pretty good.'	'Delicious! Had the chicken parm! Loved it! Lemon drop martini is very bitter. They make their own llimoncello... bitter.\n'
u":) I've been to a few locations here in the valley, all of which have been amazing, this one just seems to tickle me in that right spot.. Their staff is a bit friendlier, and outgoing than the other's I've been to, and can talk you into buying just about anything.."	'Caaaarrrrrnitas!\n'
u":) I've been to a few locations here in the valley, all of which have been amazing, this one just seems to tickle me in that right spot.. Their staff is a bit friendlier, and outgoing than the other's I've been to, and can talk you into buying just about anything.."	'Yumbz\n'
u"4) you have to sign a 1yr contract unless you do personal training (which I did) and then you can do 1-3 mo at a time The good points: -They have a TON of classes and they are bust-your-ass difficult -There are a lot of treadmills/bikes/stairmasters/ellipticals and weight stations that I've never had to wait for someone else or be in someone's way -LOTS of TVs and each cardio equipment has its own TV with the entire cable spectrum available (TRC only had like 15 or so channels) -The personal trainer I've had so far is attentive, tough with me and corrects my posture as well as gives me solid eating and working out guidelines like my old trainer used to give me -Bathrooms are very big and they have a steam room I want to try soon -Their staff is really nice and the gals are chipper I've only been going a few weeks now (2?"	'Super fast kitchen!\n'
u"4) you have to sign a 1yr contract unless you do personal training (which I did) and then you can do 1-3 mo at a time The good points: -They have a TON of classes and they are bust-your-ass difficult -There are a lot of treadmills/bikes/stairmasters/ellipticals and weight stations that I've never had to wait for someone else or be in someone's way -LOTS of TVs and each cardio equipment has its own TV with the entire cable spectrum available (TRC only had like 15 or so channels) -The personal trainer I've had so far is attentive, tough with me and corrects my posture as well as gives me solid eating and working out guidelines like my old trainer used to give me -Bathrooms are very big and they have a steam room I want to try soon -Their staff is really nice and the gals are chipper I've only been going a few weeks now (2?"	'This establishment is very quick with service, even on a weekday lunch - recommend for a quick yet filling lunch.\n'
u"4) you have to sign a 1yr contract unless you do personal training (which I did) and then you can do 1-3 mo at a time The good points: -They have a TON of classes and they are bust-your-ass difficult -There are a lot of treadmills/bikes/stairmasters/ellipticals and weight stations that I've never had to wait for someone else or be in someone's way -LOTS of TVs and each cardio equipment has its own TV with the entire cable spectrum available (TRC only had like 15 or so channels) -The personal trainer I've had so far is attentive, tough with me and corrects my posture as well as gives me solid eating and working out guidelines like my old trainer used to give me -Bathrooms are very big and they have a steam room I want to try soon -Their staff is really nice and the gals are chipper I've only been going a few weeks now (2?"	'Yay! They are back to the lavash wrap instead of the tortilla... so yum! Delicious gyro wrap...huge, too!\n'
u'Great local Japanese grocery store.'	'Long lines but worth the wait. Delicious burgers. Definitely a keeper!\n'
u'This was not very delicious.'	'Nice lunch special Mon-Fri, 11am-1pm: $8 for sandwich, chips and drink!\n'
u'And 3.'	'If you ask, and i did:) tjey will put on tje olympic trials for gymnastics, dont trip thats a real sport!\n'
u'And 3.'	'This place has happy hour all the time, check it out!\n'
u"I'll never choose a free meal again.."	"I liked this place but please don't Make me fill poor.\n"
u"I'll never choose a free meal again.."	'My favorite place ta grab a beer . People are happy,, staff is amazing. Very clean place to be . A++\n'
u'Great shop!'	'I really like how the juice bar is set up. No tanks, pure flavor with RDAs they use\n'
u'Definitely try brown sugar oolong milk tea with pearls and coffee jelly (if you want to splurge a bit, add milk foam for 50\xa2).'	'Get the Hainanese Chicken. You will not regret it.\n'
u'Omg the corn on the cob amazing I highly recommend it very chill spot to go hang out and have a few drinks with tacos I also love the tres Leche cake'	'I like everything about this place .\n'
u'There was great communication throughout the time he had the clock and was working on it, and although there was a wait before he could start the job (as he had numerous other projects ahead of ours), we understood the timeframe it would be from day 1... and we are glad we waited!'	"Al Pastor and Pork Adovada in lettuce wraps can't go wrong!\n"
u"The atmosphere was great and I'm a big fan of the Chipotle Cherry Steak tacos!"	'Try the grilled romaine salad! You can thank me later :)\n'
u"The atmosphere was great and I'm a big fan of the Chipotle Cherry Steak tacos!"	'Habanero salsa has some kick!!\n'
u'Tacos are great!'	'Happy Hour is M-F 3-6pm), Sat (11-6pm) and Sun (2pm-Close).\n'
u'Tacos are great!'	"Not sure if their Yelp address is updated because I can't find it, plus they don't pick up the phone.\n"
u'They have lunch specials years around that are very affordable and compare to eating fast food.'	'Excellent Service. Friendly, Clean, Efficient and fair pricing!\n'
u'They have lunch specials years around that are very affordable and compare to eating fast food.'	'Quick and efficient service! Thanks guys for taking care of the Range Rover!\n'
u"The fries are hand-cut and fried to order, the service is friendly and fun, and this spot is completely safe for those on a gluten-free diet because all they do is fries, there's no cross-contamination!"	'Sign up through website and use promo code FIRSTFREE for your first free ride, opening 12/14!\n'
u'The room was really nice and big, with plenty of room for the 4 of us (I forgot to mention that the pet rooms also come with 2 free cute little dog bowls for your pups).'	'Score, free wifi!\n'
u'With salad and baked potatoes for 10.75 Another great thing about this place is how accommodating they are if you have a large party, you can bring 50+ people without having to pay reservation fees and all that nonsense like a lot of restaurants/bars will do you in the scottsdale.'	'Free samples!\n'
u'Now that they have, what do I have to say?'	'Bacon olive oil?! Yes please!\n'
u'Now that they have, what do I have to say?'	'Be sure to check out their cookbook selection!\n'
u"I've only been here a couple of times, but I have yet to be disappointed and will most definitely be back to try the 'Sweet' side of the menu.I am embarrassed to find that I have not written a review of this place earlier."	'Try the vanilla olive oil for baking ... And waffles\n'
u'The food is very good.'	'Oils & Olives - Queen Creek has been open for a while and has a good selection of local AZ oils and vinegars. Most are in the $13.95 to $17.95 range for 250 ml and $21.95 for 500 ml, which are good prices\n'
u"The shop is a bit on the small side with the sign a little hard to see but everything is made there and the service is as sweet as the treats!First time in FYE, I was on the search for a specific CD that I knew I wouldn't find in a regular store."	'Take a book, leave a book! Finally brought the book I owed! #Conscious cleared!\n'
u'And, I did, and it was a great experience.'	'All raw desserts are never sweetened w/ sugar.\n'
u').I bought their month membership off of Groupon (which ran somewhere in the $20-30 range) because the studio is located very close to my house.'	"Located at the shopping mall's North West corner. No official signage yet--just a 24carrots banner hung inside the window. Almost drove right by it (glad I didn't)! ;)\n"
u'I have to give this church 4 stars because the messages are just so amazing and enlightening!'	'Try the chickpea quesadillas! WOW!\n'
u"It's delicious."	'This is excellent place for vegetarian.\n'
u'It was.'	'Loaded tots and Fat Heads Holly Jolly.\n'
u'It was.'	"What the hell is this monstrosity? There's only one ketchup in America, c'mon.\n"
u'There was nothing too extraordinary to mention at all.'	'First time dancing in DT, interesting crowd\n'
u'It was a more intimate setting in a beautiful grassy area in the center of the resort.'	'Go check out Scenario on Wednesday nights! :)\n'
u'In addition to wonderful food was excellent smoky flavor there is a wide variety of sauces to choose from, and the servers are all very happy to work here.'	'Look for the coupon to get table side prepared guacamole\n'
u'The sushi is great, the teppanyaki is top notch and the staff are friendly.'	'Happy hour specials are pretty good and the food is good too.\n'
u"I don't care if it is a chain or not - if I like what you are doing and I enjoy the food then you have me as a customer."	'The Mexican apple pie is a must for dessert!\n'
u'But a great place for a date!Pretty darn good, odd ordering system but once you do it it works pretty good.'	'Best fajitas in town\n'
u'Best pizza in town awesome staff to must check this place out awesome repeats it was cooked just right again by far best pizza in town'	'Good service great food Kobe burger awesome also manager was very professional\n'
u'It was all that and more.'	'Skip the black & bleu burger and get the ribeye with gorgonzola butter!\n'
u'It was all that and more.'	'The garlic fries are the best.\n'
u'I said Yes and ordered a Mean Green for my son and I. I paid and informed her that I would go try to take the jars to the car and come back for the to go juice she was making.'	'Service is Snail Slow took 57minutes to get a side salad and a mango shrimp tapas dish\n'
u"It's so great!"	'Hit up their HH. Super yummy bbq chicken pizza. Ask for light in the sauce, maybe extra on the side. Cocktails and drink specials for HH are great too. Wide selection to choose from. Great classic mojito!\n'
u"It's so great!"	'Server Marcus in the bar area is fantastic! Cheerful and he always provides excellent service. :)\n'
u'I consider myself a "foodie" and work in a five star hotel so I\'m picky and Sirio was ridiculous good!!'	'The truffle Mac n cheese is everything! Amazinggg!!\n'
u"Maybe its just me, but they usually don't have much in my size."	"Don't forget to say hi when you see me!! :-)\n"
u'(2-6pm) And(!)'	'Remember to upload Elite Event photos!\n'
u'Overall I would definitely recommend having a gander for a bit of fun and some good cocktails.OH MY GAWD I LOVE IT!'	'My favourite place to take visitors. Best greasy cafe breakfast you could want, great price and great service\n'
u"It wasn't even on the brunch menu, but they still brought it out for me, so sweet =) I love that!"	'Best bartender in Vegas, Robert. Great food as well.\n'
u"Our waiter was great, and the food was either great, or just alright: - The scallop appetizer was absolutely amazing - The french onion soup was great, but I do wish they offered a different size portion, because they only offer one size, and it's definitely something to split with someone else - The croque monsieur was alright, but I do think the sandwich would be better if the sauce was ordered on the side rather than on top of the sandwich - The prime steak sandwich was okay; nothing special - The frites are amazingMy boyfriend and I decided to come here since we were exploring Paris and we wanted something fancy but also affordable."	'Good thing we made a reservation. Our group got checked in sooo smoothly. It was great breakfast\n'
u"It wasn't even on the brunch menu, but they still brought it out for me, so sweet =) I love that!"	'The creme br\xc3\xbbl\xc3\xa9e was fabulous.\n'
u"It wasn't even on the brunch menu, but they still brought it out for me, so sweet =) I love that!"	'Amazing food, great food, great service\n'
u"Our waiter was great, and the food was either great, or just alright: - The scallop appetizer was absolutely amazing - The french onion soup was great, but I do wish they offered a different size portion, because they only offer one size, and it's definitely something to split with someone else - The croque monsieur was alright, but I do think the sandwich would be better if the sauce was ordered on the side rather than on top of the sandwich - The prime steak sandwich was okay; nothing special - The frites are amazingMy boyfriend and I decided to come here since we were exploring Paris and we wanted something fancy but also affordable."	'Reservations are a MUST!!\n'
u"Our waiter was great, and the food was either great, or just alright: - The scallop appetizer was absolutely amazing - The french onion soup was great, but I do wish they offered a different size portion, because they only offer one size, and it's definitely something to split with someone else - The croque monsieur was alright, but I do think the sandwich would be better if the sauce was ordered on the side rather than on top of the sandwich - The prime steak sandwich was okay; nothing special - The frites are amazingMy boyfriend and I decided to come here since we were exploring Paris and we wanted something fancy but also affordable."	'Best outdoor eating experience in Vegas. Plan to sit outside but try to sit under an umbrella. The sun can be brutal.\n'
u'Staff are great, however, I always tip and they NEVER sing.'	'Good food and good staff. There is an employee named Devon who is a very nice guy. Never disappointed.\n'
u"That's it."	'As of 12/4/14: Lunch: $11.29 Regular Beverage: $2.49 Large Beverage: $2.99\n'
u"That's it."	"Check the menus online and don't forget your coupons! Also, take advantage of the fresh salad bar!!\n"
u"That's it."	"Kids eat free on Mondays in September (12 and younger; one free kid's meal with adult meal purchase). Currently, lunch is $8.99 and dinner is $10.69.\n"
u'My girls and I also love the grilled veggie salad as well as whole wheat pasta with a variety of veggies.'	'Best part of Sunday is Enjoyin a healthy lunch with my family after church!\n'
u'My girls and I also love the grilled veggie salad as well as whole wheat pasta with a variety of veggies.'	'Dinner with family\n'
